,ppt,country_native,country_nonnative,decision_making,P2_Q4,P2_Q5,Flag_Aim,Decision_Making,Additional_Comment
208,352,Manchester,France,guess based on the speakers,to do with speakers,,No,Speakers said,N/A
209,353,England,Poland,On the descriptions given,How much to trust someone based on their accent,,No,Speakers said,Trustworthiness + Accent
210,354,England,Asia,I distributed them equally,To judge how we felt about a non-native speaker,none.,No,N/A,Accent
211,355,North england,India,From how well the horses were explained by the speaker and how good they made them sound,To see how we perceive different accents and how much we trust what they say.,,No,Speakers said,Trustworthiness + Accent
212,356,UK,Spain,Based on their view of the horse and its previous successes,See4 if we find non-native speakers less informative or trustworthy,"The English accent was frustrating and untrustworthy due to the erm uhm errr all the way through it, made it really difficult to focus on what she was saying.",No,Speakers said,Trustworthiness + Accent
213,358,Scotland,Scandinavian country ,information given from the speaker,to see if the speakers accent/nationality influences their perceived credibility,,No,Speakers said,Trustworthiness + Accent
214,359,Liverpool,Romania,by the positive things each person said; and how many positive things which were mentioned,To see how accents influence our decision making,,No,Speakers said,Accent
215,363,England,Romania,Mostly the content of the words as opposed to how they were delivered,To understand how trustworthy people find non-native and native accents,,No,Speakers said,Trustworthiness + Accent
216,366,UK,Spain,Based on how strong the horses were and how well they've done recently,To see if your opinion changes based on who you're hearing the information from (native or non-native speaker),,No,Speakers said,Accent
217,367,England,Norway,Based on the previous performances of the horses,to see the effect of accents on decision making,,No,Speakers said,Accent
218,368,England,I'm not sure,I tried to go off the information given to me based on their past performance.,To test whether horses with a native speaker description would get higher bets,,No,Speakers said,Accent
219,369,south America ,not sure,listening to the descriptions ,to see if the instructions ,You have NaN pounds left.   - there was an error. ,No,Speakers said,N/A
220,370,Wales,Spain,A guess on an idea of their likelihood to win the race,To see if the accents of the experts impacted on my estimation of if the horse would win,,No,Speakers said,Accent
221,371,united kingdom,eastern europe,25% chance for each of them,to assess our opinions on language,,No,N/A,Opinions
222,378,uk,no,evenly,perceptions of accents,,No,N/A,Accent
223,379,england,india,which horses seemed most promising ,comparing accents,,No,N/A,Accent
224,380,United Kingdom,Eastern Europe,By how the speaker described the horses,To see how people trust people of different backgrounds when putting money on a bet,,No,Speakers said,Trustworthiness + Accent
225,385,England,n/a,the amount of hesitations in speech ,,,No,Delivery,N/A
226,389,No idea!,France,"Based on the information about the horses past performances and experience. Also, how confident I perceived the speaker to be. For the first and last audio recording, the speakers said 'uh' and were less fluent in their answers, which left me feeling less certain of the information provided. ",To explore whether people trust the opinion of people with similarities to them (i.e. accent) - that they feel more alike with,,No,Delivery,Trustworthiness + Accent
227,393,Birmingham,Poland,By past performance as described,To understand how different accents/native or non native impacts how we trust voices,,No,Speakers said,Trustworthiness + Accent
228,394,manchester,france,Listened to their advice,To see which opinion we value more,,No,Speakers said,Accent
229,395,London,India,Guesswork,Trust in native speakers vs non native speakers,,No,N/A,Accent
230,396,Spain,Yorkshire,Based on the voice and the confidence they spoke at,To view opinions on native vs non-native speakers and how it influences our decisions ,,No,Confidence,Accent
231,398,Northern England,South Asia,I decided to split them between the horses that sounded the best.,To see if people bet less on the non-native speaker.,,No,N/A,Accent
232,400,England,Spain,Gut feeling and judgement of description,effect of accents when money is at stake,,No,Speakers said,Accent
233,402,Scotland,Italy,Based on the information provided and how enthusiastic the language was about the horses.,"To study variables in native and non-native accents, language and tone.",,No,Speakers said,Accent
234,404,England,Spain,"I listened to the feedback and judged it based on what the speakers said. For example, if they reported there was confidence in the horse from officials then I felt it was a safe bet.",To determine how you take in information dependant on the speaker and accent.,,No,Speakers said,Accent
235,405,Midlands,Eastern Europe,Based on the likelihood of the horse winning,To see if accent  of speaker affected horse betting.,,No,Speakers said,Accent
236,406,no,no,from the tips,not sure,,No,Speakers said,N/A
237,408,England,Spain,fairly even but tried to pick a favourite,betting on horses,,No,N/A,Betting behaviour
238,409,England,France,I found it easier to understand the native speaker and they appeared more confident in the information given.,To assess the perceived trustworthiness/knowledge of a native speaker to a non-native speaker.,,No,Confidence,Trustworthiness + Accent
239,411,France,Scotland,Based on how confident the speakers tone was and the context of their speech,"Unsure, gambling related but somehow something to do with language? Maybe the impact of accent on tipsters?","Nice survey, good luck with your conclusions",No,Confidence,Accent
240,413,Scotland,Poland,On the advice,Perception of non-native speakers,n/a,No,Speakers said,Accent
241,415,England,Italy,at Random,To see how somebody's accent affects credibility,,No,N/A,Accent
242,416,France,England,Depending on how the horses had done in previous races.,How people percieve non-native speakers.,,No,Speakers said,Accent
243,420,United Kingdom,Spain,The ones that were described with most confidence got the most money.,,,No,Speakers said,N/A
244,422,Somewhere in North Yorkshire,France,Distributed equally leaving myself some money as I didnt think the descriptions gave me much to go on. ,How much we trust native speakers over non natives. ,,No,N/A,Trustworthiness + Accent
245,424,Yorkshire,France,Based on information provided about the horses,Opinions on native/non-native spoken English,,No,Speakers said,Accent
246,425,Birmingham,Sweden,I put more money on horses that the speakers told me 'were a runner up in a previous race' for example. Not just 'he's doing well'...,"To see who we trust more, native speakers or non-native speakers",,No,Speakers said,Trustworthiness + Accent
247,428,liverpool,spain,Based on how knowledgeable the speaker sounded and their interest in what they were saying,How racial bias affects betting? ,,No,Speakers said,Accent
248,429,no ,spain,based on the confidence of the words spoken ,not sure ,,No,Confidence,N/A
249,432,north?,spain?,based on what they said but also a bit randomly,,it screened me out even though i met the criteria but i think that was a glitch because then it continued and i completed the whole survey,No,Speakers said,N/A
250,434,Hull,Italy,Based on the enthusiasm about the horses shown by the speakers.,To see whether accent makes a difference in taking advice.,N/A,No,Confidence,Accent
251,435,france,america,evenly,not a clue,,No,N/A,N/A
252,436,England,Italy,Based on what they said about the horses,,,No,Speakers said,N/A
253,438,Britain,China,The information about the horses and how well they'd done previously,Whether people judge non-native speakers differently to native speakers,,No,Speakers said,Accent
254,439,manchester,spain,based on the information provided ,how information is provided effecting decisions made,,No,Speakers said,Betting behaviour
255,440,No,No,Equally but low to avoid big losses and because none of the horses were spoken about enthusiastically,Not sure,,No,N/A,N/A
256,444,Yorkshire,France,Based on the information as to how the horses have been performing,How well accents can be understood,,No,Speakers said,Accent
257,445,UK,Poland,split amongst the 4 horses,to understand people's perception of native and non-native speakers,,No,N/A,Accent
258,446,england,asia,25 on each split evenly,to see the difference in trust of two accents,,No,N/A,Trustworthiness + Accent
259,447,yorkshire,poland,"the statistics on the horses, putting more money on the horses i felt would be more likely to win",to see if people bet more on the horse that is being spoken about by the native speaker,,No,Speakers said,Accent
260,451,Newcastle,India,I listened to the information they were talking about.,Language and persuasiveness?,,No,Speakers said,Persuasiveness
261,452,England,Spain,From performance and ability,distinguish between accents,,No,Speakers said,Accent
262,454,Birmingham,Portugal,All on the first horse,Possibly seeing how the speaker / tone / accent could affect decision making.,"Great survey, would love to participate in similar again.",No,N/A,Accent
263,456,england,spain,how good they made the horses sound,relativity between accents and competency ,,No,Speakers said,Accent
264,458,Coventry,The Netherlands,Based on how convinced I was by the speaker,To see how people respond to different fluency and language,,No,Confidence,Delivery and accent
265,459,n/a,n/a,i weighed it up evenly,to test processing info from different dialects,,No,N/A,Accent
266,460,UK,Spain,I just did it equally,How much I would bet depending on whether the speaker was native or not,,No,N/A,Accent
267,462,England,Spain,Horse descriptions,Confidence in information provided by non-native speakers,,No,Speakers said,Accent
268,463,England,Sweden,Apocalypse was the first I saw,To see if a narration would have an effect on betting,,No,N/A,Betting behaviour
269,465,England,Unsure,"I didn't think it really mattered how I distributed the bets as the money was not real, I put higher bets on the horses that I felt were described well",To see how the speaker impacts how people make decisions,,No,Speakers said,Accent
270,466,England?,No idea,"I was expecting to hear about perhaps how many races they'd run things like that, I didn't feel that there was a lot of useful informaiton about the horses, so i ended up doing it evenly. Although the non-native seemed to be more enthusiatic about the first two horses. ",Ability to be influenced by native and non-native accents. ,"Nothing to add, good luck!",No,N/A,Accent
271,469,London,India,I put lower money on the horses that didn't sound like they had much chance of winning and the highest on the horse who seemed the favourite.,,,No,Speakers said,N/A
272,471,North of England,Spain,Based on trusting the person and what they said about how good the horse was ,Asses our bias around accents ,,No,Trust,Accent
273,475,London,Poland,I trusted the horses more if they had been racing for longer,To look for prejudice and discrimination based on accent,,No,Speakers said,Accent
274,476,no,no,most confident about speaking abou the horses,not sure,,No,Confidence,N/A
275,478,America ,unsure,listening for any positive comments  ,placing bets on information given to you,,No,Speakers said,Betting behaviour
276,479,Ireland,Western-Asia,On how enthusiastic the speakers were and the comments made about each horse.,Perceptions based on accent and voice.,,No,Confidence,Accent
277,483,Scotland,India,based on the wording they used and also bearing in mind that I hadn't heard about the other horses yet,To see if betting behaviour changes in native vs non native speaking,,No,Speakers said,Accent
278,484,England,Mexico,After listening to them all together i decided to change my bets to what i thought sounded more trustworthy,To see which speaker was more understandable ,great enjoyable survey ,No,Speakers said,Accent
279,485,Manchester,France,By the past of the horse and it's winnings,To see whether people think differently about non-native speakers and trust them less,,No,Speakers said,Accent
280,488,Somewhere North,Israel,I tried to determine how confident they sounded in the recordings and listened to the positivity of their vocabulary,To determine whether people make judgments based on the fluency of language and whether accents affect this,,No,Confidence,Delivery and accent
281,489,UK,France,"based on form, detail of previous",view biases based on our perception of language - did more choose the native speaker etc,,No,Speakers said,Accent
282,490,Yorkshire,France,Based upon the information I could hear and understand completely.,To see how behaviour changes when listening to both native and non-native speakers,,No,Speakers said,Accent
283,491,uk,spain,"listening to the information, also how smooth it was",how an accent can affect things such as decisions,,No,Speakers said,Accent
284,497,manchester,colombia,based on the info given,see the difference in trustworthness of uk vs non uk natives,,No,Speakers said,Trustworthiness + Accent
285,498,Spain,"Yorkshire, England",Based on statistics and form,To determine whether peoples betting behaviour differs depending on the speaker,,No,Speakers said,Accent
286,500,UK,Spain,Based it on what was said about the horses,To see if the accent affected our choice of bet,,No,Speakers said,Accent
287,501,Yorkshire,France,Whether I heard positive reassuring things,,,No,N/A,N/A
288,503,England,spain,I only put a little amount on the first 3 horses as i was not confident in them so then i had a lot of money to place on the 4th horse still,too see if the sound of a person changes your opinion on their knowledge.,n/a,No,N/A,Accent
289,504,scotland,spain,i listened to the content ,to detect bias,,No,Speakers said,Accent
290,505,Somewhere north of the country?,Possibly the middle east?,I decided based on the confidence of the speakers. Both the native and non native speaker seemed much more confident in the way they spoke about the horses I placed the highest bets on (no ums and ahs) - however there were more 'cuts' in the audio in these so they might not have been confident and just cut the pauses out. ,To find out if people prefer information from native or non native speakers? ,,Yes,Speakers said,Accent
291,506,Ireland,France,"Partly on the descriptions if I could understand what was being said, but if I couldn't unerstand then just randomly.",Opinions of native versus non-native speakers,,No,Speakers said,Accent
292,507,Scotland/Nothern,Norway/Germany,Based on my level of interest,To determine whether we choose something based on how someone describes it/their tone,,No,N/A,Delivery
293,508,North England,Spain,how well it seems the horse was doing,,,No,N/A,N/A
294,509,UK,Spain,Split the money evenly ,To see peoples betting behaviour ,,No,N/A,Betting behaviour
295,510,Couldn't guess ,Couldn't guess,Based on what was said by the speakers,If there is a difference in non-native and native and trust worthiness ,,No,Speakers said,Accent
296,512,no,no,listened to what they had to say,to see if people bet more with the native speaker,,No,Speakers said,Accent
297,513,UK,Netherlands,How persuading the descriptions were ,peoples views on native compared to non-native speakers,,No,Persuasion,Accent
298,514,Scotland,Spain ,I listened to what they said about their performance previously ,To see if we trust native or non-native speakers more,,No,Speakers said,Accent
299,515,northern but unsure where ,European (maybe greek),tried to listen to specific mention of where gorses had placed in the past ,to see if people find native speakers more trustworthy than non native speakers despite being told they have the same level of expertise ,,No,Speakers said,Trustworthiness + Accent
300,516,Yorkshire,Czechia ,How enthusiastically the experts spoke about the horses,Whether people are more likely to take advice from native speakers.,,No,Confidence,Accent
301,517,Spain,Northern England,By which speaker sounded most interested in their horse,To see the influence of accents,,No,Confidence,Accent
302,519,Newcastle,Italy,Based upon how good the horses sounded based on the descriptions and the enthusiasm with which they were described,See the impact of accents on trust,,No,Confidence,Trustworthiness + Accent
303,521,Poland,England,Based on their information shared ,Different speaker to if people bet more,,No,Speakers said,Accent
304,523,Leeds,Asian,Based upon what the speaker said,To see peoples opinions on native and non native english language,na,No,Speakers said,Accent
305,524,manchester,spain,randomly,whether people bet more on native speakers or non native,,No,Speakers said,Accent
306,525,South,Slovakia,Based on what they said about the horses,To determine whether accents influence decisions more?,,No,Speakers said,Accent
307,526,spain,manchester,"to what i thought was the better horse, stronger horses",to see peoples behaviours towards accents/betting,,No,Speakers said,Accent
308,528,England,France,"I listened closely to what the speakers said about the horses and what i could understand, and also how confident they sounded",To see if people are biased towards people with different accents,,No,Speakers said,Accent
309,529,UK,India,"I tried to base it on the content of the recordings, particularly on whether each horse had a previous record of success","Determine how someone's accent affects perceptions of their competence, trustworthiness, etc.",n/a,No,Speakers said,Trustworthiness + Accent
310,531,Scotland,Spain,Based on the information provided. If I wasn't sure I went with a lower bet,I don't know,,No,Speakers said,N/A
311,532,Leeds,China,based on the facts shared by the speakers,to see if an accent can influence individuals trust and subsequently betting behaviours,,No,Speakers said,Trustworthiness + Accent
312,534,England,France,Evenly across 3 ,Trust in different accents ,,No,N/A,Trustworthiness + Accent
313,537,england,india,by how confident they spoke about the horse ,unsure,,No,Confidence,N/A
314,539,unsure,unsure,"Just went off the most information given, that sounds more promising.",unsure.,,No,Speakers said,N/A
315,540,sheffield,france,I listened to how they described the horses success but I dont know much about horse racing so it was largely a guess,To gauge peoples opinions of native vs non native speakers,,No,Speakers said,Accent
316,541,Manchester,Spain,Based on the information given,See how different accents affect our decision making,no,No,Speakers said,Accent
317,543,Scotland,Italy,tried to listen to the facts,to see if there is a negative bias towards non-native speakers,,No,Speakers said,Accent
318,544,London,Sri Lanka,I listened out for previous successes ,to see if people prefer native or non native speakers.,,No,Speakers said,Accent
319,545,Northern England,India,Based on the descriptions and details provided. The one that gave more details and spoke to longer lengths about the horse garnered my attention more.,Whether a non-native speaker of English is a detriment to them providing information/tips on a subject.,,No,Speakers said,Accent
320,546,no,France ,based mostly on the look of them,to see what influences decisions ,it was hard to understand the non native speaker but it was more interesting to listen to.,No,Speakers said,Betting behaviour
321,547,Don't know,France,Based on the quality of information given,The influence of accents on people's trustworthiness?,,No,Speakers said,Trustworthiness + Accent
322,548,Scotland,Spain,Language used to describe the horses,How we perceive information differently between native and non native speakers,N/A,No,Speakers said,Accent
323,549,Scotland,Eastern Europe,I usually bet equally ,To see how the accent may influence the way I bet,N/A,No,N/A,Accent
324,551,Manchester United Kingdom,India,Tried to listen to the tips and take faith in the voices.,Understand perception of native and non native voices,,No,N/A,Accent
325,553,England,France,I didn't understand much of the differences between the horses so I trusted the speakers judgement ,To examine bias of native/ non-native speakers ,,No,Speakers said,Accent
326,554,Midlands,Spain,Mainly guesses,how people perceive non-natives,,No,N/A,Accent
327,555,"Newcastle, UK",Spain,The names of the horses,The difference between receiving information from native and non native persons,,No,Names,Accent
328,563,Northern England,Unsure,Different comments from the commentators,see bias or judgement for different accents,,No,Speakers said,Accent
329,567,No,No,I struggled I only put down £20 I wasn't really convinced by either speaker the native speaker sounded uninterested,To see how people react to native speakers compared to non native speakers,No,No,N/A,Accent
330,570,Yorkshire,China,Purely a guess on if the next one would be better or worse,Opinions on native v non native speakers ,,No,N/A,Accent
331,572,UK,Eastern Europe,put more on tips from non-native speaker,Determine influence of native speaker vs non-native speaker,,No,N/A,Accent
332,573,UK,"Somewhere in Europe, maybe Spain though I'd need to listen again- couldn't really understand much she was saying thp",Honestly it was a little random as I couldn't understand the non-native speaker very well,To see if we bet more when the speaker is native,Couldn#t understand non native woman so didn't know what to bet,No,N/A,Accent
333,575,Northern England,France,Based on previous wins and the opinion of the horses,To see if people find a native of their country more trustworthy,,No,Speakers said,Accent
334,576,UK,France,Based on clarity of the speaker,Unsure,,No,Speakers said,Accent
335,577,Scotland,South-asia,I thought the information contained in some of them seemed more objective (based on results etc) and was more in depth.,n/a,n/a,No,Speakers said,N/A
336,579,Birmingham,Pakistan,BAsed on what was said and how they sounded,To listen to voices,,No,Speakers said,N/A
337,583,UK,France,Based on how they describe the horses,To see how trustworthy etc people find native/non-native voices,,No,Speakers said,Trustworthiness + Accent
338,584,england,spain,past performance and consistency,,,No,Speakers said,N/A
339,585,scotland,spain,cautiously but going off what they had said - certain horses appeared to be likely to do better,evaluate prejudice when it comes to people/their accents,,No,Speakers said,Accent
340,586,South West,INdia,I don't understand horse racing terms so went with what sounded better,Judgement based on understanding accents,Both audios were difficult to hear based on the cuts in audio,Yes,Speakers said,Accent
341,587,Norwich,France,Based on the description of the horses,To determine the emotions of listening to different accents,,No,Speakers said,Accent
342,591,Scotland,Italy,"I tried to base my bets off the information the two speakers gave me about the horses.  However, I will admit that I struggled to understand the non-native speaker's accent at times and that also affected how I placed the bets.",To see how people react to native vs non-native speakers and whether or not an accent can have an effect on how we view someone's information/opinion/expertise.,,No,Speakers said,Accent
343,593,England,India,Even distribution between the two most confident sounding descriptions,To study racial biases,,No,N/A,Accent
344,597,yorkshire,france,I used all the money on the one horse I thought sounded the most promising,"to see if I, an native speaker, was more likely to trust someone who speaks the same language",,No,N/A,Trustworthiness + Accent
345,600,Northern England,not sure,How well I could understand the speaker,To see if there is a positive bias towards people who speak the same as you,,No,N/A,Accent
346,601,england,no,based on the comments made,to decide if people trust native speakers more as they are familiar.,i based my decision on the facts rather than who was saying them,No,Speakers said,Accent
347,610,Manchester,Not sure,"Mostly even, but there were a few that stood out slightly more",How trustworthy we thought the native/non-native speaker using our betting behaviour as a measure of bias?,,No,Speakers said,Trustworthiness + Accent
348,611,England,Brazil,Based on relation to other races,If we downplay the bet based on accents,,No,Speakers said,Accent
349,612,Spain,England,Based upon the information provided by the speakers,To gauge people's responses to a native speaker in comparison to a non-native speaker and the impact this has on their ability to learn from them ,,No,Speakers said,Accent
350,613,England,Asia,"I bet more on horses that received a lot of praise, but I bet a little on every horse.","To see how someone's accent can affect how they are perceived, if native speakers are seen as more intelligent than non-native speakers. ",,No,Speakers said,Accent
351,614,Scotland,Spain,How they ran in previous races,to see if betting on horses are swayed when being told information by native or non-native speakers,,No,Speakers said,Accent
352,615,England,Spain,Based on their discussion,Understand peoples experience of native speakers,,No,Speakers said,Accent
353,617,England,Spain,Mostly even with a differences coming from recent 'results' and the speaker's confidence.,To understand how fluency of speech influences the listener's trust.,,Yes,Speakers said,Delivery and trust
354,621,Midlands/North of England,Subcontinental Asia,"Based on the perceived confidence of the tipsters, but also the names","How people are more or less likely to trust native versus non-native experts, with different levels of fluidity in their speech",,No,Speakers said,Delivery and trust
355,622,England,India,Based on how confident they seemed that the horse would perform well.,,,No,Speakers said,N/A
356,623,England,Spain,Whichever sounded most positive,Reaction to native & non-native speakers,,No,Speakers said,Accent
357,624,the north,italy,I could understand the native speaker better so I put slightly more money on their horses,to understand bias of accents,,No,Speakers said,Accent
358,625,Yorkshire,Belgium,Based on what I could understand from the speakers and what I heard based on the horse's previous racing experience and triumphs.,"To determine whether the ability to understand an educator influences people's choices, in this case on horse racing.",,No,Speakers said,Accent
359,626,Birmingham,Polish,I listened to what the speakers said and followed my gut,To see how much people would bet on horses when they are being told about them by people with different accents. ,,No,Speakers said,Accent
360,627,United Kingdom,Sweden,The positive and enthusiastic words used for certain horses helped me bet more on those. ,,,No,Speakers said,N/A
352,629,Scotland,Italy,"I initially aimed to distribute the money evenly amongst the horses, but upon hearing the voices and descriptions I changed my tactic to increase the amount on horses being described more confidently and spoken about with more authority.  ",Something relating to how confident a person sounds having an influence over decision making,,No,Speakers said,Confidence
353,630,england ,spain,based on past performance ,,,No,Speakers said,N/A
354,631,England,France?,I tried my best to form opinions on all of the horses compared to each other with the information given. I didn't spend all the money but I put the most on the horse I thought had the best chance given the information,To assess peoples reactions to native speakers vs non-native speakers,,No,Speakers said,Accent
355,632,England ,no,"10 on each of the horses on the left, 40 on each of the horses on the right ",,,No,N/A,N/A
356,633,Kent,Spain,Key words used and confidence of speech,If accents affect behaviour,,No,N/A,Accent
