"","ppt","competent","smart","educated","intelligent","successful","sociable","friendly","nice","honest","pleasant","irritated","interested","enthusiastic","frustrated","annoyed","happy","trustworthy","easy","fluent","strong","affect","status","solidarity","country_native","country_nonnative","learn_future","P1_Q4","P1_Q5","decision_making","P2_Q4","P2_Q5","bet_before","expertise_betting","IN_ANALYSIS_AUDIO","IN_ANALYSIS_EXPERTISE","naturalness","exposure","speaker"
"91",156,2,5,5,5,4,4,6,6,6,5,8,3,2,9,9,4,5,7,9,5,5.83333333333333,4.2,5.4,"England","France","Native speaker","No","1","Based on how confident the speaker sounded giving the information","To determine if those native English speakers will trust a native speaker more","","No","1","Yes","Yes",6,9,"native"
"92",157,7,7,7,7,6,7,7,8,8,8,9,6,6,9,9,7,7,7,5,6,7.66666666666667,6.8,7.6,"Eastern europe","Scotland","Non-native speaker","No","1","The horses in which the speakers had more \umms\ and \ahhs\ sounded less convincing","To see the correlation between different accents and how they affect our decision making","","No","1","Yes","Yes",7,6,"nonnative"
"93",159,4,5,3,3,4,3,5,3,7,4,5,2,2,8,8,2,5,4,6,4,4.5,3.8,4.4,"Scotland","Poland","Non-native speaker","No","1","On what the speakers were describing in terms of how prepared the horses and riders were.","To investigate whether native speakers are perceived differently (maybe more trustworthy etc.) compared to non-native speakers.","","No","1","Yes","Yes",4,9,"native"
"94",162,8,9,8,7,8,7,6,8,8,8,9,7,7,2,9,5,7,7,7,8,6.5,8,7.4,"england","France","Non-native speaker","Yes","3","from how good the horses were decribed ","if we trust non native information","","Yes","3","Yes","Yes",9,5,"nonnative"
"95",164,7,7,7,7,6,6,6,7,7,6,7,6,6,5,6,6,7,8,7,8,6,6.8,6.4,"England","France","Native speaker","No","1","Randomly","To determine how people utilise betting advice based on who its from","","No","1","Yes","Yes",7,9,"native"
"96",166,6,7,6,6,6,6,6,6,7,6,8,3,5,7,7,5,5,8,9,4,5.83333333333333,6.2,6.2,"The UK","France","Native speaker","No","1","Mostly quite even, except for Apocalypse because I liked the name and the description mentioned about the terrain","To identify whether native vs non-native impact people's trust in experts and whether accent plays a part","","No","1","Yes","Yes",8,9,"native"
"97",168,7,7,7,7,7,6,7,7,7,7,8,7,4,8,8,4,6,9,9,1,6.5,7,6.8,"UK","Europe","Native speaker","No","1","based on prior success of the horses","whether people trust information from native speakers more than from non-native speakers","","No","1","Yes","Yes",8,9,"native"
"98",169,7,4,5,4,5,7,6,7,7,6,8,4,2,9,9,5,6,8,9,8,6.16666666666667,5,6.6,"North England","Spain","Native speaker","Yes","1","From descriptions and appearances.","","","Yes","1","Yes","Yes",6,9,"native"
"99",171,8,7,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7,9,9,4,6.66666666666667,7,7,"England","France","Native speaker","Yes","2","By how successful they described the horse","To see how people view native / non native speakers","","Yes","2","Yes","Yes",7,9,"native"
"100",173,9,7,8,8,7,9,8,8,9,7,5,3,3,4,4,5,6,5,7,8,4,7.8,8.2,"spain","northern england","Non-native speaker","Yes","1","previous results","find out about preconceptions of native vs non native speakers","","Yes","1","Yes","Yes",6,9,"native"
"101",174,7,5,5,6,6,5,6,7,6,4,9,3,3,8,9,5,7,4,5,7,6.16666666666667,5.8,5.6,"London","France","Native speaker","No","1","based on information given and name of horse","How reliable/intelligent we think someone is based on accent","","No","1","Yes","Yes",5,3,"nonnative"
"102",175,5,5,5,5,4,4,3,4,6,6,7,4,3,5,5,5,6,8,8,7,4.83333333333333,4.8,4.6,"Scotland","France","Non-native speaker","No","1","Based on what the experts said","","","No","1","Yes","Yes",6,9,"native"
"103",177,3,6,4,5,6,5,5,7,6,6,7,5,5,8,7,5,7,2,3,8,6.16666666666667,4.8,5.8,"Silver Sky","The other three horses","Native speaker","No","1","Based on how well the horse performed in the past","How well the speakers words come across to make better informed decisions on the horses. ","","No","1","Yes","Yes",7,1,"nonnative"
"104",178,5,6,5,5,4,2,6,7,7,5,4,2,2,7,8,2,6,5,7,6,4.16666666666667,5,5.4,"Englad","Sweden","Non-native speaker","No","1","I based it off the horses recent performance","To study how different accents affect how much we trust information given to us","","No","1","Yes","Yes",9,9,"native"
"105",183,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7.4,9,"No","No","Native speaker","Yes","1","Based on the facts","I am unsure","NA","Yes","1","Yes","Yes",9,9,"native"
"106",186,7,7,7,7,7,6,7,8,7,7,9,7,7,9,9,5,7,9,8,6,7.66666666666667,7,7,"North West","no","Non-native speaker","No","1","what they said about performance","something about trusting native vs non natives when given information","","No","1","Yes","Yes",7,7,"nonnative"
"107",188,8,8,8,5,5,5,7,7,7,8,9,5,5,8,9,5,7,6,8,7,6.83333333333333,6.8,6.8,"Italy","Manchester","Non-native speaker","No","1","Trying to find key words, like win, excellent, improved ","The trustworthiness of tipster","","No","1","Yes","Yes",5,4,"nonnative"
"108",190,6,6,7,7,6,7,9,9,9,9,8,4,3,4,4,3,7,3,2,7,4.33333333333333,6.4,8.6,"UK - Northern","Unsure","Native speaker","No","1","Based on their information","How people view non native speakers ","","No","1","Yes","Yes",5,2,"nonnative"
"109",191,8,7,8,7,6,7,7,8,7,8,8,6,5,8,8,6,8,7,7,6,6.83333333333333,7.2,7.4,"Scotland","Spain","Native speaker","No","1","Based on the horses' past performances","Do people trust native or non-native speakers more?","","No","1","Yes","Yes",9,2,"nonnative"
"110",192,6,6,6,6,6,5,5,5,5,5,4,3,3,4,4,5,7,8,9,5,3.83333333333333,6,5,"No","No","Non-native speaker","No","1","How promising the horses seemed","Whether people with english as a first language trust native speakers more than non-native","","No","1","Yes","Yes",5,8,"native"
"111",193,6,6,5,5,5,4,4,3,6,4,6,2,2,8,6,3,5,2,4,7,4.5,5.4,4.2,"England","France","Native speaker","No","2","Based on the testimony of the speakers and their confidence in each horses' ability","","","No","2","Yes","Yes",7,3,"nonnative"
"112",194,7,9,9,9,8,7,7,7,7,7,8,3,1,8,7,3,7,3,9,7,5,8.4,7,"France","England","Native speaker","No","1","I couldn't understand a lot of the horse jargon so I picked out whether they said the horse had won a race, been runner up, in third place etc. Gave the most money (£60) to the horse who previously came in first place and £40 to the one who had been runner up. Nothing to the others.","To see if you spend less money based on the advice of the non-native speaker","","No","1","Yes","Yes",4,3,"nonnative"
"113",195,7,7,7,7,7,7,7,7,7,7,8,7,6,8,8,5,7,3,4,6,7,7,7,"No","France?","Native speaker","No","1","Even spread","To see whether people are more or less likely to trust native or non-native speakers and whether confidence of delivery affects this.","","No","1","Yes","Yes",7,4,"nonnative"
"114",196,1,4,5,5,3,1,1,1,5,2,4,3,1,4,3,2,6,9,6,3,2.83333333333333,3.6,2,"Yorkshire","Spain or Italy","Non-native speaker","No","1","Bit of guess work more than listening to what the commentators were saying. Was hard to concentrate on what they said cause it was like they were bad at reading.","Comparing native and non-native accents","","No","1","Yes","Yes",6,6,"native"
"115",198,9,8,9,7,5,6,7,5,5,7,8,1,1,9,9,1,6,7,8,8,4.83333333333333,7.6,6,"england","france","Native speaker","No","1","based on information","impact of accent on decision making","","No","1","Yes","Yes",8,8,"nonnative"
"116",200,4,3,3,3,5,2,3,6,2,2,3,3,3,2,4,3,3,2,1,9,3,3.6,3,"North of England","France","Native speaker","No","1","Based on the confidence of the speaker voice","to investigate the impact of accents on perception","","No","1","Yes","Yes",6,2,"nonnative"
"117",201,5,5,5,5,5,4,4,5,6,4,8,3,1,7,8,1,6,4,6,6,4.66666666666667,5,4.6,"United Kingdom","South America ","Native speaker","No","1","Based on the information provided by the speakers and how I inerpreted it.","To see people's perception of accented speech vs. non-accented speech.","","No","1","Yes","Yes",7,3,"nonnative"
"118",202,7,7,7,7,7,7,7,7,7,7,9,1,1,9,9,5,7,5,6,7,5.66666666666667,7,7,"no","no","Native speaker","No","1","equally because i dont know anything about horses","differing bet values based on the accent ","","No","1","Yes","Yes",7,9,"native"
"119",205,8,7,7,7,7,8,7,8,9,8,8,4,4,8,9,6,8,4,6,6,6.5,7.2,8,"london","turkey","Native speaker","No","1","based on the information given","to understand how people feel towards different accents","","No","1","Yes","Yes",7,6,"nonnative"
"120",207,6,6,6,6,5,5,6,6,7,5,7,4,4,7,7,5,6,6,7,6,5.66666666666667,5.8,5.8,"North England","France","Non-native speaker","No","1","Description of the horses and how enthusiastic the speaker sounded","To tell if people are more likely to listen to a native speaker or non-native speaker","","No","1","Yes","Yes",8,8,"native"
"121",208,7,7,8,7,6,5,4,7,6,5,9,6,7,8,8,3,8,7,8,6,6.83333333333333,7,5.4,"glasgow","poland","Native speaker","Yes","1","mostly guess work","how you interpret voices","","Yes","1","Yes","Yes",8,7,"native"
"122",211,6,8,7,7,6,6,8,8,7,8,9,6,3,9,9,7,8,7,7,8,7.16666666666667,6.8,7.4,"England","Indonesia","Non-native speaker","No","1","Didn't feel confident in the first 3 horses, but felt like playing anyway so just put some money on the last horse.","","","No","1","Yes","Yes",4,9,"nonnative"
"123",213,7,7,7,7,7,6,6,6,6,6,9,6,6,9,9,6,6,8,8,8,7.5,7,6,"scotland","india","Native speaker","Yes","1","based on the length/description of the speaker","the difference between native and non native speakers","","Yes","1","Yes","Yes",8,9,"native"
"124",218,5,5,4,5,5,5,5,5,5,5,9,3,2,9,9,4,5,3,2,7,6,4.8,5,"North somewhere ","No","Native speaker","Yes","1","Not a lot of strategy, just going for it, none stuck out more than others ","Unsure ","","Yes","1","Yes","Yes",5,6,"nonnative"
"125",221,7,8,8,7,9,7,5,4,7,6,9,9,2,8,9,9,7,5,8,7,7.66666666666667,7.8,5.8,"United Kingdom","Latvia","Native speaker","No","3","Mostly Evenly ","Finding if voices affect peoples perspective.","","No","3","Yes","Yes",7,7,"native"
"126",223,8,6,7,6,6,5,5,6,6,6,3,3,2,7,6,2,7,7,8,8,3.83333333333333,6.6,5.6,"Scotland","India?","Non-native speaker","No","2","The only useful information I got was regarding the 4th horse, Apocalypse. Apparently he did very well elsewhere, so based on that I gave him the majority bet. The second horse had basically no information besides \he did better than we thought he would\, which didn't inspire confidence.","Something about accent bias in the way we take in information; we may be more inclined to believe people who sound like us.","No thank you","No","2","Yes","Yes",6,8,"native"
"127",225,6,6,6,6,6,6,6,6,6,6,9,1,1,9,9,1,6,9,9,6,5,6,6,"Yorkshire","France","Non-native speaker","Yes","1","I imagined how I would approach it if it were me and when I discoverd that I didn't have to bet it all I decided I would prefer to keep the entire £100 and not bet.","To find biases against accents","","Yes","1","Yes","Yes",6,9,"native"
"128",226,8,7,7,7,7,7,8,8,8,8,9,8,7,9,9,7,8,9,8,3,8.16666666666667,7.2,7.8,"leeds","france","Native speaker","No","1","i listened to the tips, the horses with better information about how they perform got a higher bet","to see if anyone struggled understanding the accents","","No","1","Yes","Yes",8,9,"native"
"129",227,3,6,7,7,6,7,8,7,7,8,5,3,4,3,4,3,7,2,5,6,3.66666666666667,5.8,7.4,"No","England","Non-native speaker","No","1","I didn't really have a strategy. Just based my bets on the information provided and what I could understand/","I'm not sure.","","No","1","Yes","Yes",5,7,"native"
"130",228,9,9,9,9,9,8,8,8,7,7,9,6,6,9,9,4,9,9,9,8,7.16666666666667,9,7.6,"Not sure","England?","Native speaker","No","1","How successful they said the horses had been recently","To see how people bet based on the voice they was listening to?","","No","1","Yes","Yes",8,9,"native"
"131",229,8,8,5,5,6,8,8,9,8,8,9,8,9,6,6,7,8,9,9,8,7.5,6.4,8.2,"Bolton","Turkey","Native speaker","No","1","Based on the recent race placements I heard within each of tipsters reportsthe ","To see whether the accent influences the perception of trustworthyness/reliability of information","","No","1","Yes","Yes",8,9,"native"
"132",230,5,5,5,5,4,2,2,4,3,3,9,3,2,9,9,4,5,9,9,1,6,4.8,2.8,"England","France","Native speaker","No","1","based on past performance and the speakers use of positive words","assess how we associate character with differing accents","","No","1","Yes","Yes",5,9,"native"
"133",231,6,6,5,5,6,3,3,4,4,4,1,3,4,3,4,7,6,5,4,7,3.66666666666667,5.6,3.6,"no","no","Native speaker","No","1","evenly","","","No","1","Yes","Yes",5,5,"nonnative"
"134",233,6,5,5,5,5,5,5,5,5,5,9,3,3,9,9,3,5,9,9,6,6,5.2,5,"yorkshire/newcastle","spain","Native speaker","No","1","Based on what was said about them","to judge how people listen to native and nonnative speakers","","No","1","Yes","Yes",6,9,"native"
"135",234,6,7,6,7,8,7,8,8,7,8,9,7,7,9,9,7,7,8,7,4,8,6.8,7.6,"England","India","Non-native speaker","Yes","1","Evenly across it all","perceptions of different accents","","Yes","1","Yes","Yes",5,9,"nonnative"
"136",236,8,8,8,8,8,7,8,8,8,8,9,8,8,9,9,8,8,7,7,8,8.5,8,7.8,"Midlands","No","Non-native speaker","Yes","3","I decided to distribute my bets on how the horses were described in terms of strength and liklihood of success in this type of race.","To determine whether people would put more trust in the native speaker or the non native speaker.","","Yes","3","Yes","Yes",7,3,"nonnative"
"137",238,3,4,4,4,3,4,4,4,4,5,3,2,2,5,5,1,3,9,9,6,3,3.6,4.2,"Leeds","No","Native speaker","No","1","By how much I understood from what they were saying","","","No","1","Yes","Yes",6,9,"native"
"138",239,7,8,8,8,7,2,1,2,7,3,6,1,1,7,7,3,7,9,9,1,4.16666666666667,7.6,3,"Midlands, England","Spain/ Portugal","Native speaker","Yes","1","Language they used ","whether accents implicated trust ","","Yes","1","Yes","Yes",6,9,"native"
"139",241,7,8,6,7,8,8,8,8,9,8,9,7,5,8,9,6,7,8,9,4,7.33333333333333,7.2,8.2,"Northern England","France","Non-native speaker","Yes","1","Based on how positive the speaker appeared to be when talking about the horse","How different accents can influence your judgement of a person","","Yes","1","Yes","Yes",8,9,"native"
"140",243,6,6,7,7,6,5,5,6,7,6,9,3,3,8,9,5,8,8,8,6,6.16666666666667,6.4,5.8,"Northern England","Spain/Italy","Non-native speaker","No","1","Overall relativley equally distributed but slightly higher/lower depending on descriptions of speaker's","Trustworthiness depending on the speaker being native or non-native","","No","1","Yes","Yes",7,9,"native"
"141",247,9,7,6,7,5,7,6,8,7,8,7,5,6,8,8,5,7,8,6,7,6.5,6.8,7.2,"yorkshire","spain","Native speaker","No","1","the descriptions of the horses","to see opinions and trust on non-native english vs accented english ","","No","1","Yes","Yes",7,6,"nonnative"
"142",249,7,8,7,7,7,8,8,8,9,8,8,8,7,8,9,7,8,9,7,8,7.83333333333333,7.2,8.2,"Scotland","Poland","Native speaker","Yes","2","What was said about each horse by the speaker","Whether we listen more to a native speaker over a non-native speaker","","Yes","2","Yes","Yes",6,5,"nonnative"
"143",251,7,5,5,5,5,2,4,7,7,4,9,6,2,9,9,6,6,1,1,9,6.83333333333333,5.4,4.8,"Ireland","India","Native speaker","Yes","1","Based on horse names","Unsure","","Yes","1","Yes","Yes",9,5,"nonnative"
"144",252,4,6,5,5,5,2,3,3,5,4,8,2,1,9,9,2,5,2,4,8,5.16666666666667,5,3.4,"Somewhere in the UK, possibly North England?","Spain or Eastern Europe?","Native speaker","Yes","1","I struggled to understand the accent and picked up more words from the native English speaker, they also sounded slightly more enthusiastic","To study whether a foreign accent has a negative effect on decisions?","","Yes","1","Yes","Yes",8,8,"native"
"145",253,7,6,6,8,5,6,5,8,6,8,8,7,5,9,8,6,6,4,5,6,7.16666666666667,6.4,6.6,"England","Spain","Non-native speaker","No","1","By how positive the speakers sounded","to test how different accents affect perception","","No","1","Yes","Yes",4,2,"nonnative"
"146",254,6,6,6,6,7,5,5,6,7,6,6,3,3,5,6,3,5,6,6,5,4.33333333333333,6.2,5.8,"England","France","Native speaker","Yes","1","Mainly based on the positive words used for each horse","Unsure","","Yes","1","Yes","Yes",6,8,"native"
"147",256,7,7,7,5,6,5,7,5,7,8,9,6,3,9,9,2,7,6,7,5,6.33333333333333,6.4,6.4,"Scotland","Portugal","Non-native speaker","No","1","The information given about the horses positions in previous races","To determine if people are biased towards the information given by non-native speakers.","","No","1","Yes","Yes",7,1,"nonnative"
"148",258,1,2,2,2,2,1,5,5,5,5,4,2,2,4,5,2,1,9,9,5,3.16666666666667,1.8,4.2,"Yorkshire","Spain","Non-native speaker","Yes","1","I based them on which speaker was more professional.","To see how accents affect individual decisions.","","Yes","1","Yes","Yes",5,9,"native"
"149",259,7,6,7,7,7,3,4,5,6,5,6,4,3,7,7,4,7,6,7,2,5.16666666666667,6.8,4.6,"England","Belgium","Non-native speaker","No","1","By what each expert said, and how confident they sounded. For example, saying \I think...\ doesn't sound fully confident, especially from a horse-racing expert.","To examine people's judgement of information when given in different accents, native or non-native.","","No","1","Yes","Yes",7,9,"native"
"150",260,3,5,5,5,6,2,2,3,4,3,4,2,2,4,4,4,4,7,8,4,3.33333333333333,4.8,2.8,"Yorkshire, England","France","Non-native speaker","No","1","By how promising the horse sounded","To gauge how people perceive how trustworthy an individual is, based on how well they can understand what they are saying","","No","1","Yes","Yes",7,9,"native"
"151",261,6,7,7,7,7,7,6,7,8,7,3,6,7,7,4,6,6,8,6,6,5.5,6.8,7,"england","india","Native speaker","No","1","on what they said about the horse itself","see if non native views change peoples views?","","No","1","Yes","Yes",5,5,"nonnative"
"152",262,5,5,5,5,5,3,3,4,4,5,8,3,3,5,5,4,6,3,3,8,4.66666666666667,5,3.8,"scotland","italy","Native speaker","Yes","3","how well i thought the horse would do","not sure","","Yes","3","Yes","Yes",7,6,"nonnative"
"153",263,3,5,4,3,4,5,4,5,4,4,8,4,4,6,6,6,6,7,7,6,5.66666666666667,3.8,4.4,"yorkshire","no","Non-native speaker","Yes","1","evenly to increase chances","to assess accent and influence in trust around gambling decisions","","Yes","1","Yes","Yes",6,5,"nonnative"
"154",265,7,7,7,7,6,5,6,6,6,6,8,3,2,8,9,3,7,7,6,6,5.5,6.8,5.8,"England","No","Native speaker","Yes","1","Based on the confidence of trust in the horse","","","Yes","1","Yes","Yes",8,7,"nonnative"
"155",266,5,7,6,6,6,7,6,5,7,6,7,6,6,8,9,3,6,8,8,5,6.5,6,6.2,"England","Poland","Native speaker","No","2","Wait until they all had finished speaking then bet","attitudes towards different speaking people","","No","2","Yes","Yes",7,8,"native"
"156",267,8,8,8,8,6,7,8,7,8,8,7,8,7,7,8,5,7,4,6,7,7,7.6,7.6,"Yorkshire","Germany","Native speaker","No","1","What had been said about the different horses","to see whether a non-native english speaker impacts on how people make bets","","No","1","Yes","Yes",8,6,"nonnative"
"157",268,7,6,7,6,6,5,5,5,7,5,9,5,2,9,9,1,5,8,6,5,5.83333333333333,6.4,5.4,"north england","spain","Native speaker","Yes","1","40,20,20,20","no idea","no","Yes","1","Yes","Yes",6,2,"nonnative"
"158",269,5,7,6,6,7,4,5,6,6,6,9,4,6,9,9,5,5,6,5,3,7,6.2,5.4,"London","Italy","Non-native speaker","Yes","1","From horses experience told by the speakers","About accents of non natives and natives when listening to information","n/a","Yes","1","Yes","Yes",5,5,"nonnative"
"159",271,7,8,4,4,6,6,7,8,8,8,5,5,5,3,5,6,7,8,6,8,4.83333333333333,5.8,7.4,"Spain","Scotland","Non-native speaker","Yes","2","Trainers comments","trustworthiness ","","Yes","2","Yes","Yes",4,9,"native"
"160",272,7,6,6,7,7,5,5,5,5,7,9,3,2,9,9,4,5,9,9,5,6,6.6,5.4,"Scotland","Spain","Native speaker","No","1","I just went with my gut feeling","Unsure","","No","1","Yes","Yes",7,9,"native"
"161",273,7,8,7,8,8,8,9,8,7,7,9,7,8,9,9,7,7,7,6,6,8.16666666666667,7.6,7.8,"no","no","Non-native speaker","Yes","1","based on what they said bout the horse and their confidence ","not sure","","Yes","1","Yes","Yes",7,1,"nonnative"
"162",274,1,2,3,3,4,2,3,6,6,3,3,2,2,3,2,2,2,9,9,1,2.33333333333333,2.6,4,"Yorkshire","Sweden","Non-native speaker","No","1","How confident the speaker sounded in their horse","To see whether a familiar accent would cause a listener to trust someone more.","","No","1","Yes","Yes",9,7,"native"
"163",275,3,6,5,5,5,5,6,5,6,6,3,4,3,4,6,4,5,2,3,7,4,4.8,5.6,"manchester","not sure","Native speaker","No","1","evenly","not sure","","No","1","Yes","Yes",7,7,"nonnative"
"164",278,6,6,6,5,7,6,5,8,5,5,9,9,9,9,9,6,5,3,5,5,8.5,6,5.8,"Scotland ","Norway ","Non-native speaker","No","1","the ones i was attracted to got a higher price on them ","i think its to do with native and non native language and descriptions and how that would influence ones decision ","great survey ","No","1","Yes","Yes",9,4,"nonnative"
"165",279,6,6,6,6,6,3,4,5,5,5,5,4,3,5,5,4,6,7,7,8,4.33333333333333,6,4.4,"Midlands","Spain","Non-native speaker","Yes","1","More on the less chopped up sounds, native or non-native, less on the one that i coudl ehar the sound had been chopped to remove ums/buts","If non-native accents affects our biases","","Yes","1","Yes","Yes",9,2,"nonnative"
"166",280,6,7,7,6,6,6,6,6,5,6,6,4,4,5,6,5,6,6,6,7,5,6.4,5.8,"Not sure","Somewhere in Poland","Non-native speaker","No","1","Almost completely randomly.","","","No","1","Yes","Yes",5,9,"nonnative"
"167",282,8,7,8,8,7,5,7,7,8,7,7,5,4,7,7,5,8,6,9,4,5.83333333333333,7.6,6.8,"England","Spain","Native speaker","Yes","2","Based on how positive the recording was","To see if people are biased towards the native speaker and bet more on the horses they describe","","Yes","2","Yes","Yes",7,7,"native"
"168",284,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,5,7,3,6,7,4.16666666666667,7,6,"north england","japan","Native speaker","Yes","1","based on the information I was provided","how non-native and native speakers impact decisions","","Yes","1","Yes","Yes",9,2,"nonnative"
"169",285,9,9,9,9,9,7,7,7,7,7,9,9,7,9,9,7,7,9,9,6,8.33333333333333,9,7,"yorkshire","poland","Non-native speaker","Yes","2","flanks","pregerditial attitude to non native speakers","","Yes","2","Yes","Yes",5,9,"native"
"170",286,5,5,5,5,5,5,5,5,5,5,3,1,1,3,3,3,4,7,9,5,2.33333333333333,5,5,"Manchester","Poland","Native speaker","No","1","What positives I understood most","Understand the influence of languages and accents","","No","1","Yes","Yes",7,8,"native"
"171",290,8,8,9,8,6,9,9,8,8,9,8,8,8,8,8,6,7,9,9,5,7.66666666666667,7.8,8.6,"England","Spanish","Non-native speaker","Yes","1","On fluency, one of them kept being broken up saying emmm, didnt sound like she was confident with what she was talking about","How we interpret different accents","","Yes","1","Yes","Yes",8,4,"nonnative"
"172",293,5,7,8,8,8,9,9,9,9,9,9,9,4,4,8,5,8,8,8,5,6.5,7.2,9,"Oxford","France","Non-native speaker","Yes","3","By the descriptions of the horses","to see how people perceive native and non-native English speakers ","","Yes","3","Yes","Yes",4,9,"native"
"173",294,8,8,7,8,8,7,8,8,8,8,9,7,7,9,9,6,7,8,6,8,7.83333333333333,7.8,7.8,"South of England, UK","Brazil","Non-native speaker","Yes","1","By how many positive things I heard about the horses","if accents affect outcome  ","","Yes","1","Yes","Yes",7,6,"nonnative"
"174",296,7,4,5,5,4,5,6,3,7,3,3,3,3,4,6,2,5,9,8,3,3.5,5,4.8,"France","England - not sure where exactly","Non-native speaker","Yes","1","Based on what the speakers said","See if you prefer and trust native or non-native speakers more","","Yes","1","Yes","Yes",6,9,"native"
"175",299,6,6,6,6,6,7,7,7,6,7,9,6,5,9,9,5,6,6,7,7,7.16666666666667,6,6.8,"No. Sorry","No. Sorry","Native speaker","Yes","1","Purely guesswork.","If I made better decisions when listening to the native speaker?","","Yes","1","Yes","Yes",7,3,"nonnative"
"176",302,6,7,7,6,6,8,7,7,7,7,7,4,4,5,5,4,7,4,4,6,4.83333333333333,6.4,7.2,"England","Spain","Native speaker","Yes","2","I chose the horse that sounded successful, and which they were describing as not so successful or I couldn't get enough information from ","To see if I would bet less with less understanding of what was said","","Yes","2","Yes","Yes",8,8,"native"
"177",303,6,6,6,6,7,6,6,7,7,6,9,7,5,9,9,6,6,8,7,6,7.5,6.2,6.4,"England ","Spain","Native speaker","Yes","1","I tried to distribute equally but increased the amount slightly if the speaker gave confident sounding stats.","","","Yes","1","Yes","Yes",4,4,"nonnative"
"178",304,6,7,6,6,6,6,6,6,6,6,4,4,5,5,5,5,5,6,6,5,4.66666666666667,6.2,6,"UK","no","Native speaker","No","2","The description","unsure","","No","2","Yes","Yes",6,9,"native"
"179",306,3,3,3,3,3,3,1,2,4,3,7,5,5,7,7,3,3,8,8,3,5.66666666666667,3,2.6,"England","France","Non-native speaker","Yes","2","I went off the advice given ","To see if where someone is from impacts if you listen to them ","","Yes","2","Yes","Yes",4,8,"native"
"180",307,6,8,7,8,8,8,7,8,6,8,3,6,7,8,8,7,6,7,6,8,6.5,7.4,7.4,"Southampton","Germany","Native speaker","Yes","2","Based on information given by speaker","See whether we put more money on a clearer speaker as opposed to actual facts about the horse","","Yes","2","Yes","Yes",4,5,"nonnative"
"181",308,4,5,4,4,4,4,6,5,4,5,6,5,5,7,7,5,4,7,6,5,5.83333333333333,4.2,4.8,"Yorkshire","India","Native speaker","Yes","2","based on what they said and how confident it sounded ","to see how different accent will make a difference to how we bet","","Yes","2","Yes","Yes",5,6,"native"
"182",309,6,9,6,8,9,7,9,7,6,9,9,7,7,9,9,7,1,8,6,7,8,7.6,7.6,"russia ","england ","Native speaker","Yes","2","with the information provided weighing pros and cons ","to listen to the descriptions and base a bet onto who i think would have highest earnings  ","","Yes","2","Yes","Yes",7,9,"native"
"183",310,7,5,5,5,5,5,5,6,5,5,9,1,1,9,9,1,5,4,4,7,5,5.4,5.2,"I don't know","I don't know","Non-native speaker","Yes","1","I went based off the feedback given on the horses","","","Yes","1","Yes","Yes",5,8,"nonnative"
"184",311,7,7,7,7,8,5,5,5,9,5,8,7,5,8,8,1,9,8,9,8,6.16666666666667,7.2,5.8,"North England","Spain","Native speaker","No","1","I tried to follow what they were saying about horses though I struggled as I didn't understand a lot of the context","See if we are more likely to bet on the native speaker's horses as we view them as more competent and trustworthy as well as educated","N/A","No","1","Yes","Yes",7,8,"native"
"185",313,5,5,5,5,5,8,8,8,7,7,7,3,3,8,7,4,5,7,9,7,5.33333333333333,5,7.6,"Bradford","India","Native speaker","Yes","1","Whether the language sounded confident","how accents influence decision making","","Yes","1","Yes","Yes",4,7,"nonnative"
"186",314,8,8,8,8,8,8,7,8,8,8,9,8,7,9,9,7,8,6,6,7,8.16666666666667,8,7.8,"UK","Brazil","Native speaker","Yes","2","based on the information given, rather than by the accent or speaker","to see if accent affected interest and influences bets?","it was an interesting study","Yes","2","Yes","Yes",7,6,"nonnative"
"187",315,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9,9,9,8.16666666666667,9,9,"spain","united kingdom","Non-native speaker","Yes","2","on how well the horses have done in the previous races","to place your bets on each of the horses the native and non native speaker describes them ","great survey","Yes","2","Yes","Yes",4,2,"nonnative"
"188",316,8,7,7,7,7,5,7,8,7,8,9,5,3,5,9,5,8,5,5,8,6,7.2,7,"England","Poland","Non-native speaker","No","1","Based on the information given to me","To see how people's level of understanding/feelings toward non-native and native speakers effects how they would distribute money","","No","1","Yes","Yes",7,6,"nonnative"
"189",318,6,6,7,7,6,7,7,7,6,8,9,6,4,9,9,6,6,9,9,2,7.16666666666667,6.4,7,"somewhere down south","A european country","Native speaker","Yes","1","Based on what the speakers said","Not quite sure","","Yes","1","Yes","Yes",7,9,"native"
"190",319,6,7,7,7,7,5,5,6,6,8,9,7,6,9,9,7,6,9,8,7,7.83333333333333,6.8,6,"England","France","Non-native speaker","Yes","1","On who they said performed best recently.","No idea.","","Yes","1","Yes","Yes",9,9,"nonnative"
"191",320,7,8,7,8,7,7,6,8,5,8,9,1,6,5,3,7,7,9,9,1,5.16666666666667,7.4,6.8,"UK","Italy","Native speaker","No","1","Which horse had been on good form","","","No","1","Yes","Yes",8,9,"native"
"192",323,7,6,7,7,8,8,7,8,8,7,7,7,6,8,7,7,8,6,4,8,7,7,7.6,"Wales","Poland","Native speaker","Yes","1","I listened to the description given for each horse and decided based on how the description made them sound","To see if native speaker can influence peoples decisions more","","Yes","1","Yes","Yes",7,9,"native"
